languages,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
c,26.14,25.75,25.51,0.0,0.39,0.74,35.32,151.0,29.8
c++,26.78,26.29,25.99,0.0,0.49,0.87,30.78,270.0,29.8
c#,46.41,45.54,45.03,0.0,0.87,1.58,29.37,749.0,29.8
java,137.89,136.1,134.67,0.0,1.79,4.61,29.91,1259.0,29.8
dart,235.19,231.69,228.29,0.0,3.5,11.84,19.86,461.0,29.8
