languages,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
c,33.41,32.59,32.23,0.0,0.83,0.89,37.54,174.0,29.8
c++,37.27,36.29,35.53,0.0,0.98,2.48,15.03,132.0,29.8
c#,430.65,414.24,406.17,0.0,16.41,22.08,19.5,3002.0,29.8
java,126.3,119.71,117.27,0.0,6.59,4.24,29.79,1849.0,29.8
dart,292.63,271.14,262.63,0.0,21.49,18.61,15.72,475.0,29.8
f#,476.69,457.61,448.67,0.0,19.07,23.78,20.05,2430.0,29.8
