languages,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
c,5.97,5.48,5.3,0.0,0.49,0.36,16.58,491.0,29.8
c++,29.78,28.02,27.17,0.0,1.76,2.03,14.67,1483.0,29.8
c#,88.04,86.74,85.86,0.0,1.3,2.75,32.01,1001.0,29.8
java,29.73,27.84,26.93,0.0,1.89,2.09,14.22,1993.0,29.8
dart,119.56,117.05,115.13,0.0,2.51,6.25,19.13,1948.0,29.8
