languages,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
c,8.19,8.02,7.83,0.0,0.17,0.66,12.41,1.0,29.8
c++,35.78,35.55,35.28,0.0,0.23,0.9,39.76,4.0,29.8
c#,102.36,101.7,100.94,0.0,0.67,2.65,38.63,38.0,29.8
java,31.13,30.86,30.57,0.0,0.26,0.97,32.09,59.0,29.8
dart,57.44,56.53,55.46,0.0,0.91,3.86,14.88,9.0,29.8
f#,124.61,123.27,122.27,0.0,1.34,3.33,37.42,45.0,29.8
