languages,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
c,212.65,211.48,210.05,0.0,1.18,5.04,42.19,2.0,29.8
c++,184.22,183.16,181.87,0.0,1.06,4.55,40.49,4.0,29.8
c#,902.61,898.3,893.02,0.0,4.31,18.64,48.42,29.0,29.8
java,304.77,303.21,301.35,0.0,1.56,6.63,45.97,52.0,29.8
dart,407.04,404.98,402.47,0.0,2.06,8.86,45.94,7.0,29.8
f#,897.41,892.79,887.16,0.0,4.62,19.97,44.94,30.0,29.8
