languages,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
c,14.56,14.46,14.36,0.0,0.1,0.34,42.82,2.0,29.8
c++,42.82,42.58,42.29,0.0,0.24,0.99,43.25,2.0,29.8
c#,92.62,92.08,91.45,0.0,0.54,2.22,41.72,32.0,29.8
java,18.18,18.02,17.85,0.0,0.16,0.55,33.05,50.0,29.8
dart,21.89,21.75,21.59,0.0,0.14,0.51,42.92,35.0,29.8
