languages,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
c,101.86,100.05,98.21,0.0,1.82,6.62,15.39,125.0,29.8
c++,36.9,35.28,34.64,0.0,1.62,1.55,23.81,153.0,29.8
c#,145.28,143.83,142.7,0.0,1.46,3.85,37.74,183.0,29.8
java,127.89,125.86,124.81,0.0,2.03,3.34,38.29,382.0,29.8
dart,209.02,199.92,196.04,0.0,9.1,10.1,20.7,206.0,29.8
f#,194.94,193.41,192.03,0.0,1.53,4.8,40.61,184.0,29.8
