languages,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
c,30.78,30.57,30.35,0.0,0.2,0.75,41.04,33.0,29.8
c++,70.06,69.65,69.18,0.0,0.4,1.59,44.06,35.0,29.8
c#,379.0,377.13,374.89,0.0,1.87,7.97,47.55,67.0,29.8
java,89.36,88.74,88.08,0.0,0.62,2.26,39.54,104.0,29.8
dart,144.57,143.73,142.75,0.0,0.83,3.46,41.78,50.0,29.8
