languages,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
c,40.46,39.77,38.96,0.0,0.69,2.92,13.86,1.0,29.8
c++,37.85,37.26,36.57,0.0,0.59,2.51,15.08,2.0,29.8
c#,161.62,158.58,154.96,0.0,3.04,13.1,12.34,29.0,29.8
java,62.14,61.05,59.78,0.0,1.09,4.58,13.57,50.0,29.8
dart,63.73,62.72,61.53,0.0,1.01,4.3,14.82,6.0,29.8
