problems,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
binarytrees,292.63,271.14,262.63,0.0,21.49,18.61,15.72,475.0,29.8
fannkuchredux,407.04,404.98,402.47,0.0,2.06,8.86,45.94,7.0,29.8
fasta,57.44,56.53,55.46,0.0,0.91,3.86,14.88,9.0,29.8
knucleotide,209.02,199.92,196.04,0.0,9.1,10.1,20.7,206.0,29.8
mandelbrot,144.57,143.73,142.75,0.0,0.83,3.46,41.78,50.0,29.8
nbody,63.73,62.72,61.53,0.0,1.01,4.3,14.82,6.0,29.8
pidigits,36.46,35.38,34.63,0.0,1.07,2.3,15.85,15.0,29.8
regexredux,235.19,231.69,228.29,0.0,3.5,11.84,19.86,461.0,29.8
reversecomplement,119.56,117.05,115.13,0.0,2.51,6.25,19.13,1948.0,29.8
spectralnorm,21.89,21.75,21.59,0.0,0.14,0.51,42.92,35.0,29.8
