problems,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
binarytrees,430.65,414.24,406.17,0.0,16.41,22.08,19.5,3002.0,29.8
fannkuchredux,902.61,898.3,893.02,0.0,4.31,18.64,48.42,29.0,29.8
fasta,102.36,101.7,100.94,0.0,0.67,2.65,38.63,38.0,29.8
knucleotide,145.28,143.83,142.7,0.0,1.46,3.85,37.74,183.0,29.8
mandelbrot,379.0,377.13,374.89,0.0,1.87,7.97,47.55,67.0,29.8
nbody,161.62,158.58,154.96,0.0,3.04,13.1,12.34,29.0,29.8
pidigits,78.15,76.62,75.1,0.0,1.53,5.26,14.86,41.0,29.8
regexredux,46.41,45.54,45.03,0.0,0.87,1.58,29.37,749.0,29.8
reversecomplement,88.04,86.74,85.86,0.0,1.3,2.75,32.01,1001.0,29.8
spectralnorm,92.62,92.08,91.45,0.0,0.54,2.22,41.72,32.0,29.8
