problems,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
binarytrees,126.3,119.71,117.27,0.0,6.59,4.24,29.79,1849.0,29.8
fannkuchredux,304.77,303.21,301.35,0.0,1.56,6.63,45.97,52.0,29.8
fasta,31.13,30.86,30.57,0.0,0.26,0.97,32.09,59.0,29.8
knucleotide,127.89,125.86,124.81,0.0,2.03,3.34,38.29,382.0,29.8
mandelbrot,89.36,88.74,88.08,0.0,0.62,2.26,39.54,104.0,29.8
nbody,62.14,61.05,59.78,0.0,1.09,4.58,13.57,50.0,29.8
pidigits,103.11,98.15,95.53,0.0,4.96,6.51,15.84,410.0,29.8
regexredux,137.89,136.1,134.67,0.0,1.79,4.61,29.91,1259.0,29.8
reversecomplement,29.73,27.84,26.93,0.0,1.89,2.09,14.22,1993.0,29.8
spectralnorm,18.18,18.02,17.85,0.0,0.16,0.55,33.05,50.0,29.8
