problems,avg_total,avg_package,avg_core,avg_uncore,avg_dram,avg_runtime,avg_watts,avg_max_memory,avg_cpu_temp
binarytrees,37.27,36.29,35.53,0.0,0.98,2.48,15.03,132.0,29.8
fannkuchredux,184.22,183.16,181.87,0.0,1.06,4.55,40.49,4.0,29.8
fasta,35.78,35.55,35.28,0.0,0.23,0.9,39.76,4.0,29.8
knucleotide,36.9,35.28,34.64,0.0,1.62,1.55,23.81,153.0,29.8
mandelbrot,70.06,69.65,69.18,0.0,0.4,1.59,44.06,35.0,29.8
nbody,37.85,37.26,36.57,0.0,0.59,2.51,15.08,2.0,29.8
pidigits,10.2,10.02,9.83,0.0,0.17,0.68,15.0,5.0,29.8
regexredux,26.78,26.29,25.99,0.0,0.49,0.87,30.78,270.0,29.8
reversecomplement,29.78,28.02,27.17,0.0,1.76,2.03,14.67,1483.0,29.8
spectralnorm,42.82,42.58,42.29,0.0,0.24,0.99,43.25,2.0,29.8
